protocol,seed,gated_minus_frozen_f1,gated_minus_ungoverned_f1,audit_only_minus_ungoverned_f1
stationary,11,0.03257042253521125,-0.003850440774141317,0.0
stationary,23,0.03201440256741417,0.0,0.0
stationary,37,0.012161826756018845,-0.021241830065359513,0.0
stationary,53,0.04873294346978563,0.0,0.0
stationary,71,-0.017177589852008457,-0.004220779220779236,0.0
shifted,11,0.09522134121194192,-0.25371247417353904,0.0
shifted,23,0.023578115266974453,-0.4213341129463545,0.0
shifted,37,0.0,-0.5032163719377694,0.0
shifted,53,0.3458714428222886,-0.3014239668547847,0.0
shifted,71,0.44116320692491834,-0.11662572931820236,0.0
